run,copy_c_to_q_physical,reverse_q_to_c_physical,sum,valid_total,invalid_total,trials,valid_rate,valid_pair_count,coverage,coverage_rate,valid_entropy_norm,valid_tv_from_uniform
q34_idea24_copy_2_3,2,3,4,193,7,200,0.965,5,3,0.6,0.6492777348422084,0.4
q34_idea24_copy_2_3,2,3,5,194,6,200,0.97,6,4,0.6666666666666666,0.6957502274059746,0.3865979381443299
q34_idea24_copy_2_3,2,3,6,181,19,200,0.905,7,4,0.5714285714285714,0.6979804219195315,0.4285714285714286
q34_idea24_copy_2_3,2,3,7,182,18,200,0.91,8,5,0.625,0.7609216549451263,0.3791208791208791
q34_idea24_copy_2_3,2,3,8,177,23,200,0.885,9,3,0.3333333333333333,0.3456340824497532,0.7608286252354048
q34_idea24_copy_2_3,2,3,9,178,22,200,0.89,10,4,0.4,0.45735100459053013,0.6831460674157304
q34_idea24_copy_2_3,2,3,10,177,23,200,0.885,11,2,0.18181818181818182,0.28553398888459486,0.8181818181818181
q34_idea24_copy_2_3,2,3,11,178,22,200,0.89,12,3,0.25,0.39498682940133045,0.75
q34_idea24_copy_2_3,2,3,12,188,12,200,0.94,13,6,0.46153846153846156,0.6775726232290814,0.5384615384615384
q34_idea24_copy_2_3,2,3,13,189,11,200,0.945,14,8,0.5714285714285714,0.734158498492286,0.4603174603174603
q34_idea24_copy_2_3,2,3,14,177,23,200,0.885,15,8,0.5333333333333333,0.7537965875592139,0.4666666666666667
q34_idea24_copy_2_3,2,3,15,178,22,200,0.89,16,10,0.625,0.8147747254746116,0.3925561797752809
q34_idea24_copy_2_3,2,3,16,180,20,200,0.9,15,5,0.3333333333333333,0.4763983823988348,0.7166666666666667
q34_idea24_copy_2_3,2,3,17,181,19,200,0.905,14,7,0.5,0.5818520766255257,0.5816890292028414
q34_idea24_copy_2_3,2,3,18,180,20,200,0.9,13,4,0.3076923076923077,0.4759507452398131,0.6923076923076923
q34_idea24_copy_2_3,2,3,19,181,19,200,0.905,12,6,0.5,0.5882989088405183,0.5732044198895028
q34_idea24_copy_2_3,2,3,20,188,12,200,0.94,11,3,0.2727272727272727,0.43816441175524407,0.7272727272727273
q34_idea24_copy_2_3,2,3,21,189,11,200,0.945,10,4,0.4,0.543857308046259,0.6
q34_idea24_copy_2_3,2,3,22,177,23,200,0.885,9,4,0.4444444444444444,0.6202954366208014,0.5555555555555556
q34_idea24_copy_2_3,2,3,23,178,22,200,0.89,8,5,0.625,0.7604370521068589,0.38202247191011235
q34_idea24_copy_2_3,2,3,24,180,20,200,0.9,7,3,0.42857142857142855,0.3902665139197583,0.6976190476190476
q34_idea24_copy_2_3,2,3,25,181,19,200,0.905,6,4,0.6666666666666666,0.5858083768559756,0.5285451197053408
