run,pattern,sum,valid_total,invalid_total,trials,valid_rate,parallel,reverse,block_rnd,copy_rnd,scramble_rnd,blocks,copy_cycles,settle_cycles,valid_pair_count,coverage,coverage_rate,valid_entropy_norm,valid_tv_from_uniform
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,17,992,8,1000,0.992,false,true,4,0,8,"40,40,40,40",2,160,14,11,0.7857142857142857,0.8148993527278764,0.39012096774193544
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,18,989,11,1000,0.989,false,true,4,0,8,"40,40,40,40",2,160,13,10,0.7692307692307693,0.8330455073780819,0.35832620362448464
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,19,994,6,1000,0.994,false,true,4,0,8,"40,40,40,40",2,160,12,8,0.6666666666666666,0.7536608910637668,0.4124748490945675
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,20,991,9,1000,0.991,false,true,4,0,8,"40,40,40,40",2,160,11,8,0.7272727272727273,0.7154059983914807,0.4879368865241721
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,21,990,10,1000,0.99,false,true,4,0,8,"40,40,40,40",2,160,10,6,0.6,0.7083298182431876,0.4666666666666666
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,22,988,12,1000,0.988,false,true,4,0,8,"40,40,40,40",2,160,9,7,0.7777777777777778,0.7893921777651338,0.3401934322986954
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,23,993,7,1000,0.993,false,true,4,0,8,"40,40,40,40",2,160,8,7,0.875,0.7091802910678705,0.4076032225579053
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,24,903,97,1000,0.903,false,true,4,0,8,"40,40,40,40",2,160,7,7,1,0.7990160514632845,0.39313399778516056
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,25,902,98,1000,0.902,false,true,4,0,8,"40,40,40,40",2,160,6,5,0.8333333333333334,0.8631556201225326,0.2579453067257945
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,26,899,101,1000,0.899,false,true,4,0,8,"40,40,40,40",2,160,5,5,1,0.8724837938242279,0.23092324805339268
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,27,529,471,1000,0.529,false,true,4,0,8,"40,40,40,40",2,160,4,2,0.5,0.3416460278472748,0.5685255198487713
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,28,276,724,1000,0.276,false,true,4,0,8,"40,40,40,40",2,160,3,2,0.6666666666666666,0.0953315743737563,0.644927536231884
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,29,200,800,1000,0.2,false,true,4,0,8,"40,40,40,40",2,160,2,1,0.5,0,0.5
sum_idea234_q34_reverse40_4,idea 2+3+4 Q3.4 reverse-order shadow/window,30,200,800,1000,0.2,false,true,4,0,8,"40,40,40,40",2,160,1,1,1,1,0
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,1,0,1000,1000,0.0,false,false,4,0,8,"10,8,16,6",2,160,2,0,0.0,0.0,1.0
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,2,665,335,1000,0.665,false,false,4,0,8,"10,8,16,6",2,160,3,1,0.3333333333333333,0.0,0.6666666666666667
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,3,665,335,1000,0.665,false,false,4,0,8,"10,8,16,6",2,160,4,1,0.25,0.0,0.75
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,4,665,335,1000,0.665,false,false,4,0,8,"10,8,16,6",2,160,5,1,0.2,0.0,0.8
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,5,665,335,1000,0.665,false,false,4,0,8,"10,8,16,6",2,160,6,1,0.16666666666666666,0.0,0.8333333333333334
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,6,998,2,1000,0.998,false,false,4,0,8,"10,8,16,6",2,160,7,2,0.2857142857142857,0.2684378509065061,0.7142857142857143
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,7,998,2,1000,0.998,false,false,4,0,8,"10,8,16,6",2,160,8,2,0.25,0.2512001073363151,0.75
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,8,999,1,1000,0.999,false,false,4,0,8,"10,8,16,6",2,160,9,2,0.2222222222222222,0.31411163046092005,0.7777777777777777
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,9,999,1,1000,0.999,false,false,4,0,8,"10,8,16,6",2,160,10,2,0.2,0.2997386704951062,0.8
sum_idea234_q34_4,idea 2+3+4 Q3.4 shadow/window,10,998,2,1000,0.998,false,false,4,0,8,"10,8,16,6",2,160,11,3,0.2727272727272727,0.428473055877513,0.7272727272727273
